"Compound","Tanimoto_SC_ref0_AB","Tanimoto_SC_ref1_AB","Tversky_SC_ref0_AB","Tversky_SC_ref1_AB","Carbó_SC_ref0_AB","Carbó_SC_ref1_AB","Structure of SMILES [idcode]","SMILES"
"SC24","0.496874","0.654503","0.748161","0.844788","0.520007","0.664982","fb}h@@@XYjNRJIQRkJIJFgFBUhJYfjjjjiZpY^RT@","C[C@H]1CC[C@H](N2Cc3nn4cccnc4c3C2)C[C@@H]1N"
"SC25","0.498053","0.574013","0.754872","0.807679","0.516651","0.584614","fj}hC@JLyIHIADabPrJPqIIIZIJG`mFcfjZZVjjjlVPUe@@","C[C@H]1CC[C@H](c2ccc3nc(C(F)(F)F)nn3n2)C[C@@H]1N"
"SC26","0.453867","0.590627","0.703884","0.769147","0.481811","0.594853","fdeh@@@PyKvRJJJJZMJF`nR\FZifjjflLUdE@@","Cc1nnc2ccc([C@H]3CC[C@H](C)[C@@H](N)C3)nn12"
"SC27","0.526919","0.626444","0.870378","0.901432","0.562705","0.597018","fhyP@@@FRieUVwYrUg^jjjB`bLPPeY@@","C[C@H]1CC[C@H](N2Cc3ccccc3C2)C[C@@H]1N"
"SC28","0.446623","0.621545","0.699494","0.795645","0.466549","0.573806","fhyh@@@TXivRJJIQKHplxkUoMSMUUTvBHr|`@","C[C@H]1CC[C@H](c2ccn3cnnc3n2)C[C@@H]1N"
"SC29","0.566081","0.503313","0.777393","0.77856","0.560188","0.504147","fmoYA@IZ}dls@dDRBSVnrwrkrjsfkIst]USMS@AUUTRNp\@@","C[C@H]1CN(c2cc(Oc3c[nH]nc3C3=CCC(F)(F)CC3)ncn2)C[C@@H]1N"
"SC3","0.420089","0.61096","0.731229","0.846999","0.448626","0.574485","foQH@@@TDyJUmUUHs`mF@HZjhiFdZ@@","C[C@@H]1Cc2nc3cnccc3n2C[C@@H]1N"
"SC30","0.533879","0.646477","0.783503","0.864964","0.52828","0.629783","fbuiC@JLxZK`RBICDadTabTrVTrfxKQjijjijihAP@","CC[C@@H](N)CC(=O)N1CCn2c(nnc2C(F)(F)F)C1"
"SC31","0.410432","0.469254","0.647925","0.669992","0.471959","0.544163","f`ap`@DTlAVQQJIPpj[dfjjfjiFDY@@","CC[C@@H](N)CC(=O)N1CCCNC(=O)[C@H]1C"
"SC32","0.483537","0.582149","0.685641","0.827506","0.525438","0.703814","fleq@@DBBAInUnuv~RlyjjjjjjlXcIz@@","CC[C@H](N)C1CCN([C@H]2CCC[C@@H](C(N)=O)C2)CC1"
"SC33","0.321159","0.598823","0.542175","0.807311","0.338814","0.578052","fhiH@@@RTyJUnwUlcIJ@HejjbaY@@","CC[C@@H](N)CCn1cc(-c2cccnc2)cn1"
