"Compound","Tanimoto_SC_ref0_DB","Tanimoto_SC_ref1_DB","Tversky_SC_ref0_DB","Tversky_SC_ref1_DB","Carbó_SC_ref0_DB","Carbó_SC_ref1_DB","DockingScore","Structure of SMILES [idcode]","SMILES"
"decoy_1965","0.227548","0.239326","0.396905","0.392725","0.303597","0.290866","-5.553","fnsQ@DFF@rTfYeY]_mYV}FkV`d@`H@@@DFP","O=C(/C(=C/Nc1ccccc1)[n+]1ccccc1)c1ccccc1"
"decoy_1966","0.339936","0.392199","0.739406","0.74971","0.439751","0.454167","-7.03","flu``@M@YdbbTTNrTRUFBUEMAPQT@D@@@","c1ccc(CNCc2cccc3c2OCCO3)cc1"
"decoy_1967","0.284748","0.283497","0.514078","0.447","0.348936","0.311219","-4.623","foA`Q@NPQYp@cPQddaRrbReFZLmUUTmHiAP@","O=S1(=O)CC[C@@H](N[C@@H]2CCS(=O)(=O)C2)C1"
"decoy_1969","0.295521","0.281256","0.556965","0.505611","0.37132","0.338768","-4.425","fnsI@@DDLtBSKKLrjkbqkekUT@@@@@@@@","O=C(NNc1ccncn1)C(c1ccccc1)c1ccccc1"
"decoy_1970","0.308189","0.340807","0.613111","0.606931","0.419126","0.398256","-7.123","foAQ@@DF@dsLjjz\ZsUAPTD@@","O=C(c1ccccc1)N1CCCNCC1"
"decoy_1971","0.194612","0.207978","0.474155","0.445772","0.270078","0.266699","-4.121","f`i``@D@LdrjnliJBd{sU@ESPH@@","O=C1Cc2cc(Cc3ccco3)ccc2N1"
"decoy_1972","0.225996","0.234965","0.394645","0.351763","0.304769","0.287776","-6.956","f`qQb@L^`bP@cIIBeEDdd[ugKUUUUUAb@@","O=S(=O)(C[C@H]1CCCO1)NC1CCNCC1"
"decoy_1976","0.231557","0.220619","0.424327","0.375613","0.299323","0.282246","-5.738","fbcp`@AR\BvQQQQHzJJEIdnBdipTyZjjjZfjiXbXddiFPT@","O=C1[C@H]2CN3C[C@@H]1C[N@@](C2)[C@]31C(=O)N[C@@H]2C=CC=C[C@H]21"
"decoy_1977","0.230224","0.223481","0.510165","0.45537","0.312674","0.296268","-3.044","f`qPb@LB``@QddaTTRRVtzwej@@@@@@","O=S(=O)(Nc1ccccn1)c1ccccc1"
"decoy_1978","0.27828","0.321715","0.513507","0.527339","0.371137","0.365912","-7.666","fdeQ@@NZ@dsJ~kJtXpPXsUMU@APbdX`@","OC1=C(C=NCCNc2ccccc2)[C@@H]2C[C@@H]2C1"
"decoy_1980","0.218097","0.180828","0.400992","0.321386","0.271212","0.236476","-4.063","ffsHb@LFbVB@AFRREQQIQJYSKWgIcdmUj@@`JJ`X@@","O=S(=O)(Nc1cccc2cn[nH]c12)c1ccc2c(c1)CCN2"
"decoy_1981","0.193786","0.209333","0.315302","0.335218","0.278073","0.28272","-7.249","fhiPb@LA``@QddaRbbRRqoNBmUUUUT@@","O=S(=O)(CC1CCNCC1)NC1CCCCC1"
"decoy_1984","0.288909","0.341889","0.481196","0.551548","0.43716","0.438059","-6.442","fewhB@LZLVX@cIEEDdeL]DeeDdKRkIrN]@@@Q@AUTA@@@","c1ccc(Sc2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc1"
"decoy_1986","0.243652","0.250313","0.622085","0.575999","0.327098","0.317128","-3.866","fdea@@D@rJIQQIIXjJlYpXmP@@ATD@@","O=C(Nc1ccc(C2CC2)cc1)c1ccccc1"
"decoy_1987","0.277646","0.247782","0.417457","0.402132","0.318566","0.294162","-6.109","fioP`@JV@[IEEDldhddTddlTxIw`qrWhzjj`hJj@HHFPRIaR`UF@@","c1ccc2c(c1)C[C@@H]1O[C@H](C[C@@H]3N[C@@H]4c5ccccc5C[C@@H]4O3)N[C@H]21"
"decoy_1988","0.233378","0.255425","0.536443","0.521817","0.332972","0.32492","-3.692","foAHb@LTMZB@AFRREQQIIZ\ZruAPJD@@","O=S(=O)(Nn1cnnc1)c1ccccc1"
"decoy_199","0.304589","0.228441","0.635671","0.46276","0.390354","0.304307","-4.069","ffsh@@@XihrTrmrjZtyhs`ejDDPRD@@P@@@","c1ccc(Nc2ncnc3c2cnn3-c2ccccc2)cc1"
"decoy_1990","0.216749","0.246883","0.485844","0.496355","0.304325","0.317284","-3.692","fdeI@@DN|DBSKLrkOiuh~Bu@A@D`P@@","O=C(Nc1ccccc1)c1ccnc2[nH]ncc12"
"decoy_1991","0.193049","0.22559","0.345782","0.408866","0.265207","0.276327","-3.114","fakpR@NN{ABf`BLddJVbbfRTVVeFAsWjuUSUUUSUPh`@","O=C1CN(CC(=O)N(C2CCCCC2)[C@H]2CCS(=O)(=O)C2)CCN1"
"decoy_1993","0.208142","0.1878","0.381649","0.317405","0.295937","0.242882","-4.366","fhyp`@DTtCfQQJIFJIKDYjw`mUMUUUVLHTd`@","O=C1C[C@@H](N[C@@H]2CC[N@@]3CCCC[C@H]23)C(=O)N1"
"decoy_1995","0.352926","0.344877","0.776491","0.719218","0.437549","0.434808","-4.698","fhyHB@LZ]x@PeLkLjosU`n}PPD`LA@@@","c1ccc2c(SCc3cn[nH]c3)ncnc2c1"
"decoy_1997","0.374378","0.296515","0.720218","0.569627","0.435846","0.354025","-4.642","fnsQ@@DVAdTRbbRRfqTRRgF}UkT@@DE@@@@@","O=C(Nc1ccccc1)c1cccc(NCc2ccccc2)c1"
"decoy_1998","0.302966","0.299527","0.717174","0.464543","0.374182","0.34638","-5.75","fbma`@I@qYJZ]}UYWCARSfjjjj`@h@@","c1ccc(OCCCN2CCC3(CC2)OCCO3)cc1"
"decoy_1999","0.273459","0.31641","0.513822","0.531351","0.336726","0.346454","-5.16","ffcp`@DRLCrSKMjowJtyjqZmMTsLp@LPphB`","O=C(N/N=C/[C@H]1C=c2ccccc2=NC1=O)c1ccccc1"
"decoy_2000","0.315671","0.337674","0.492974","0.537137","0.37148","0.364391","-4.997","fikI`@DT\dFhyEDeDdhcdieDdjwQmTDCESP@@@@","O=C(CNCC(=O)Nc1ccccc1)NCC(=O)Nc1ccccc1"
"decoy_2001","0.198652","0.164612","0.554171","0.387558","0.302683","0.270207","-4.792","fnkP`@LL@[IEDeJhhdmhdjBYqpZmjVjBBH@IB@d@","C1=C[C@H](c2ccccc2OCc2ccccc2)c2cn[nH]c2O1"
"decoy_2002","0.336484","0.411436","0.61155","0.71876","0.429167","0.449536","-6.174","feoa`@I@QGHheDddddeHgDdRbmASGHymUUUUUT@ETLpbRbTmIr@@","O=C1O[C@@H]2C[C@H]3CCC[C@]4(CO4)[C@@H]3C[C@@H]2[C@@H]1CNCCc1ccccc1"
"decoy_2003","0.342556","0.305424","0.541969","0.502232","0.363433","0.324882","-3.701","fegQb@LI`bH@cIIBhhddlULeDeiuoCfmP@@AMP@@@@@","O=C(NCc1ccccc1)c1ccc(NS(=O)(=O)c2ccccc2)cc1"
"decoy_2004","0.318733","0.37363","0.562708","0.58499","0.420283","0.417888","-5.915","foA`a@APP@H\DYIHTleDeQegKUUUUTJH@","O=S1(=O)CC[C@H](CNC2CCSCC2)C1"
"decoy_2008","0.320501","0.359991","0.693244","0.749893","0.471754","0.444916","-6.72","fca`@B`X[IEDhbldhdldeDeQ`iQRo]APET@ET@D@@@","c1ccc(CNCc2ccc(OCCc3ccc4c(c3)OCCO4)cc2)cc1"
"decoy_2009","0.219619","0.230287","0.434027","0.451637","0.288984","0.28736","-4.808","fluQB@LRt@HRfg_[VWCARbfjjjZjjh@@","O=C(CCC1CCCC1)N1CCC2(CC1)NCCS2"
"decoy_2011","0.337008","0.371432","0.750142","0.738404","0.46306","0.424477","-6.289","foQ`@@@IRlrjyJJlYuTEAQQ@@@","c1ccc2c(c1)CNCC21CCCCC1"
"decoy_2012","0.268688","0.186325","0.625079","0.369262","0.36467","0.264088","-4.113","fb}H@@@Xi{IEDhihdeEcPQoNSGHPT@PP@P@@@","c1ccc2c(c1)NCCN2c1ncnc2ccccc12"
"decoy_2014","0.238635","0.254281","0.529074","0.501179","0.320976","0.307106","-3.8","fdeI@@DZCDBSKLjnzjqgAbu@@@EHP@@","O=C(Nc1cnc2[nH]ncc2c1)c1ccccc1"
