"Compound","Tanimoto_SC_ref0_DB","Tanimoto_SC_ref1_DB","Tversky_SC_ref0_DB","Tversky_SC_ref1_DB","Carbó_SC_ref0_DB","Carbó_SC_ref1_DB","DockingScore","Structure of SMILES [idcode]","SMILES"
"SC24","0.665801","0.545907","0.877094","0.820569","0.757141","0.652188","-9.454","dcoH@DzPrJIQQHutjuLtu@@","Cc1nc2c(ccn2C)c(=O)[nH]1"
"SC25","0.658269","0.539837","0.858559","0.83044","0.733016","0.632426","-8.632","dcoH@Dk`rJIQQHutjuRuT`@","Cc1nn2c(C)ccc2c(=O)[nH]1"
"SC26","0.658632","0.531575","0.865029","0.832064","0.770825","0.645653","-9.894","dcmH`NE`BLdTRbVITJuJuUH@@","Cc1nc2c(C)csc2c(=O)[nH]1"
"SC27","0.643199","0.531577","0.842318","0.825209","0.735294","0.632185","-9.293","dmMH@DxDfVYZzUZfZj@@","Cc1nc2c(c(=O)[nH]1)CCC2"
"SC28","0.597507","0.501646","0.792593","0.812364","0.704232","0.618692","-9.112","dk]H@DdLbbTTJRkeujX@J@@","Cc1cnc2cc(C)c(=O)[nH]c2c1"
"SC29","0.472295","0.494662","0.643717","0.752","0.572664","0.603657","-9.27","dg}H`BFpdLbbbRbTkRNpPLUI@@","Cc1cc(F)c2nc(C)c(=O)[nH]c2c1"
"SC3","0.699245","0.596288","0.912363","0.901814","0.766582","0.672855","-8.476","deUH@DHDfVWkfifh@@","Cc1n[nH]c(=O)c(C)c1C"
"SC30","0.507819","0.440216","0.795538","0.817144","0.648998","0.580645","-9.241","dk^H@DCHheEBdjy]Zf@B`@@","Cc1ccc2cc(C)c(=O)[nH]c2c1"
"SC31","0.513907","0.44712","0.807499","0.835738","0.631593","0.564546","-8.779","dk^D@DBlbbTTJRkeujh@JHr@@","Cc1ccc2c(c1)NC(=O)[C@H](C)O2"
"SC32","0.616081","0.519882","0.827724","0.826554","0.708815","0.62367","-8.76","dcoH@DzPrJIQPkUtjuMMT`@","Cc1cc2[nH]c(=O)c(C)cn2n1"
"SC33","0.491127","0.457587","0.705597","0.654665","0.544521","0.516804","-8.487","dk]D@DXJrJIQPiInWVi`@h@@","Cc1ccc2[nH]c(=O)c(=O)[nH]c2c1"
"SC34","0.557968","0.480339","0.873936","0.893566","0.68828","0.618213","-9.622","f`ia@@D@RYYeUvgEVLyjXJBJ`@@","Cc1ccc2c3c(c(=O)[nH]c2c1)CCCC3"
"SC35","0.562895","0.493721","0.85285","0.879487","0.668494","0.603308","-9.284","f`i``@D@TdrsJkmNJlYsTpTDU@@@","Cc1ccc2c3c(c(=O)[nH]c2c1)COCC3"
"SC36","0.53652","0.561067","0.776459","0.880901","0.656965","0.674164","-9.129","f`iQ@@DR@drsJkmNJlYsTpTDU@@@","Cc1ccc2c3c(c(=O)[nH]c2c1)CCCN3"
"SC37","0.5502","0.485207","0.85014","0.880115","0.632095","0.577136","-8.635","f`iaB@A\@DIRmsjnQdeV]URu@E@@@","Cc1ccc2c3c(c(=O)[nH]c2c1)CSCC3"
"SC38","0.588714","0.511202","0.881228","0.901833","0.707581","0.639829","-9.696","f`ia@@D@RYYeUvgEVLyj@@@J@@@","Cc1ccc2c(c1)[nH]c(=O)c1ccccc12"
"SC39","0.668242","0.567745","0.865267","0.889185","0.774682","0.688322","-9.544","f`iQ@@DZ@drsJkmNJlYsT@@@T@@@","Cc1cnc2c(c1)[nH]c(=O)c1ccccc12"
"SC4","0.618462","0.522648","0.916657","0.912903","0.730154","0.642822","-7.665","daEH@DHDfUzYjV`@","Cc1ccc(=O)[nH]n1"
"SC40","0.550555","0.502329","0.760596","0.794062","0.664743","0.62101","-9.379","f`iQ@@DR@drsJkmNJlYsT@@@T@@@","Cc1ccc2c(c1)[nH]c(=O)c1cccnc12"
"SC41","0.511739","0.471529","0.731406","0.727471","0.646382","0.596324","-9.388","f`iQ@@DT@drsJkkNJlYsT@@@T@@@","Cc1ccc2c(c1)[nH]c(=O)c1ncccc12"
"SC42","0.502227","0.456906","0.767897","0.759951","0.606441","0.565619","-9.637","fdeP`@DF@GHheEDdedYSbkF\u@pTTtP@@","CC(=O)N1CCc2c([nH]c(=O)c3ccccc23)C1"
"SC43","0.506282","0.466034","0.77373","0.766259","0.603131","0.568423","-9.822","fdeP`@DN@GHheEDdebiSbkF\u@pTTtP@@","CC(=O)N1CCc2[nH]c(=O)c3ccccc3c2C1"
"SC44","0.689855","0.587753","0.875921","0.896996","0.772355","0.687618","-9.685","foQq@@D\tCHheEDddZ\U[QfhIBba@@","Cc1cc2[nH]c(=O)c3ccccc3n2n1"
"SC45","0.646305","0.568944","0.915675","0.940833","0.732713","0.669169","-9.77","f`iQ@@DZ@drsJkmNJmhsTCAITP@@","Cc1cc2[nH]c(=O)c3ccccc3c2n1C"
"SC46","0.58741","0.510696","0.863025","0.882074","0.699457","0.630965","-9.509","foQaB@IV@DYHhhhcEdRdeF]TlE@e@@@","Cc1cc2[nH]c(=O)c3ccccc3c2s1"
"SC47","0.696102","0.529898","0.891344","0.809672","0.786107","0.629736","-9.923","f`iq@@D\tCHheEDeDkPRgZluAHUEB@@","Cc1nn(C)c2[nH]c(=O)c3ccccc3c12"
"SC48","0.546033","0.476442","0.830496","0.853454","0.668039","0.601718","-9.333","foQaB@IF@DYHheEhebR`iZmThTBU@@@","Cc1ccc2c(c1)[nH]c(=O)c1ccsc12"
"SC49","0.532403","0.464543","0.809249","0.832693","0.661637","0.593132","-9.391","foQ``@D@edTRbbRQUNRTZsTpRAT@@@","Cc1ccc2c(c1)[nH]c(=O)c1ccoc12"
"SC5","0.74187","0.644922","0.950108","0.940892","0.802584","0.71501","-8.816","dcmH@DHDfVUVngVhDH`@@","Cc1n[nH]c(=O)c2ccccc12"
"SC50","0.62584","0.541353","0.822552","0.826914","0.681546","0.610057","-8.305","foQP`@DZAKHheEDdbj\dhufi`dBh@@","Cc1cnc2c(c1)[nH]c(=O)c1ccoc12"
"SC51","0.543055","0.489495","0.759979","0.786098","0.629374","0.585492","-8.903","f`iQB@BRtBPrJJJIPqELUHsoPPUCRe@@@","Cc1ccc2c([nH]c(=O)c3cccn32)c1F"
