"Compound","Tanimoto_SC_ref0_AB","Tanimoto_SC_ref1_AB","Tversky_SC_ref0_AB","Tversky_SC_ref1_AB","Carbó_SC_ref0_AB","Carbó_SC_ref1_AB","Structure of SMILES [idcode]","SMILES"
"SC24","0.525052","0.242634","0.654334","0.419661","0.614078","0.352674","fb}Q`@KYAiNRJJJIIJ[IF`iFuzJZBbJJijJpaT`h@","Cc1ccc2c(c1)[C@@]1(COC(N)=N1)[C@H]1CCOC[C@@H]1O2"
"SC25","0.602664","0.820749","0.824877","0.900403","0.62332","0.85728","foAqB@LDuX@PeLnj{TYIUMUUSUbbYIH@","CC(=O)N[C@H]1CC[C@H]2N=C(N)SC[C@H]2C1"
"SC26","0.622759","0.834065","0.871236","0.931229","0.63519","0.806484","fdepb@LD]HH@cIEEEdhbliSdeFmSUUUTuQDRbxcH@","CC(=O)N[C@H]1CC[C@@]23COC[C@@H](SC(N)=N2)[C@H]3C1"
"SC27","0.54335","0.46296","0.697248","0.727288","0.601372","0.528914","fj}Q@@IAAdbfRrdRbRQcNF|gM@AUHTADPE@@","COc1ccc([C@@]2(c3cccc(C)c3)CCC(N)=N2)cc1"
"SC28","0.4763","0.601277","0.756189","0.792259","0.521788","0.643757","fbmqB@AZ|dD`dsJukllse`ac@PUSUSEXiKPJ@@","CC(=O)Nc1ccc(F)c([C@]2(C)C[C@@H]3C[C@@H]3C(N)=N2)c1"
"SC29","0.550052","0.655394","0.849232","0.845207","0.573241","0.666308","fbuH`@DLMxB\bbbdQfRtvcINBuUTDDSICB@@","CC(=O)Nc1cccc([C@@]2(C)N=C(N)CN(C)C2=O)c1"
"SC3","0.533617","0.409923","0.669549","0.649465","0.61218","0.504224","ffsQ`@KU@EJTsLjmzjtEHvoQSP@PAQMUAPD`@","COc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(C)ccc1O2"
"SC30","0.505067","0.369404","0.703024","0.529747","0.51427","0.363492","fgAQ@@DJ@drtjjRbmFluUAPDPq@@","O=C1Nc2ccccc2[C@]12CCNC2"
"SC31","0.373813","0.333172","0.526052","0.499573","0.368699","0.351718","fdeq@@D\DCHhheLXmDdsbmAbuRuT@EBIIT@@","Cn1c(N)nc([C@H]2C[C@H]2c2ccccc2)cc1=O"
"SC32","0.720551","0.403029","0.833549","0.573045","0.711174","0.403863","foAQ@@LJAdbdRTJVcNFmUTa@TP``@","Cc1cccc([C@@]2(C)N=C(N)CCO2)c1"
